year,quarter,company_id,sector,revenue,profit_margin,profit,stock_price,pe_ratio,debt_to_equity,dividend_yield,market_cap
2000,1,Company_1,Finance,219868566.12,0.04,9755484.56,36.15,3.71,1.42,0.01,2363830425.08
2000,1,Company_2,Consumer Goods,329802849.18,0.06,18814148.79,54.22,2.88,1.71,0.01,3956766965.6
2000,1,Company_3,Finance,439737132.24,0.07,30660094.32,72.29,2.36,1.66,0.03,3633501678.59
2000,1,Company_4,Energy,549671415.3,0.08,45293321.16,90.37,2.0,1.07,0.05,3833839131.85
2000,1,Company_5,Manufacturing,659605698.36,0.1,62713829.3,108.44,1.73,1.36,0.02,6178690484.46
2000,1,Company_6,Technology,769539981.42,0.11,82921618.74,126.51,1.53,1.65,0.04,2555383501.44
2000,1,Company_7,Technology,879474264.48,0.12,105916689.48,144.59,1.37,1.06,0.02,4860237780.83
2000,1,Company_8,Finance,989408547.54,0.13,131699041.53,162.66,1.24,0.36,0.04,11872412877.61
2000,1,Company_9,Technology,1099342830.6,0.15,160268674.88,180.73,1.13,1.45,0.03,17209180116.27
2000,1,Company_10,Energy,1209277113.66,0.16,191625589.53,198.81,1.04,1.01,0.02,14350448859.61
2000,1,Company_11,Manufacturing,1319211396.72,0.17,225769785.48,216.88,0.96,0.62,0.01,18875325448.6
2000,1,Company_12,Healthcare,1429145679.78,0.18,262701262.73,234.95,0.89,0.91,0.02,20094242399.92
2000,1,Company_13,Manufacturing,1539079962.84,0.2,302420021.29,253.03,0.84,1.08,0.02,21216657538.08
2000,1,Company_14,Finance,1649014245.9,0.21,344926061.15,271.1,0.79,1.71,0.03,24550428609.91
2000,1,Company_15,Consumer Goods,1758948528.96,0.22,390219382.31,289.17,0.74,0.62,0.01,8910227943.28
2000,1,Company_16,Technology,1868882812.02,0.23,438299984.77,307.25,0.7,0.44,0.03,27344609697.21
2000,1,Company_17,Manufacturing,1978817095.08,0.25,489167868.54,325.32,0.67,1.24,0.01,21325886829.7
2000,1,Company_18,Technology,2088751378.14,0.26,542823033.61,343.39,0.63,1.78,0.03,7206762021.91
2000,1,Company_19,Technology,2198685661.2,0.27,599265479.98,361.47,0.6,1.77,0.01,23659632625.44
2000,1,Company_20,Technology,2308619944.26,0.29,658495207.65,379.54,0.58,0.85,0.02,25687694051.34
2000,1,Company_21,Finance,2418554227.32,0.3,720512216.62,397.61,0.55,0.35,0.01,31193965117.65
2000,1,Company_22,Technology,2528488510.39,0.31,785316506.9,415.69,0.53,1.34,0.04,13006419185.8
2000,1,Company_23,Consumer Goods,2638422793.45,0.32,852908078.48,433.76,0.51,0.84,0.02,29861238831.73
2000,1,Company_24,Consumer Goods,2748357076.51,0.34,923286931.36,451.83,0.49,0.67,0.04,7742641418.71
2000,1,Company_25,Energy,2858291359.57,0.35,996453065.54,469.91,0.47,1.67,0.02,8208723334.63
2000,2,Company_1,Healthcare,200245920.56,0.07,14599733.96,38.47,2.64,1.34,0.02,551947136.37
2000,2,Company_2,Technology,300368880.84,0.09,28156629.78,57.71,2.05,0.56,0.01,3764501614.57
2000,2,Company_3,Energy,400491841.12,0.11,45884878.15,76.95,1.68,1.2,0.02,3205511744.23
2000,2,Company_4,Consumer Goods,500614801.4,0.14,67784479.09,96.19,1.42,1.02,0.03,8210150555.14
2000,2,Company_5,Technology,600737761.68,0.16,93855432.59,115.42,1.23,1.25,0.03,8813777828.92
2000,2,Company_6,Healthcare,700860721.95,0.18,124097738.64,134.66,1.09,1.2,0.02,12261213404.53
2000,2,Company_7,Energy,800983682.23,0.2,158511397.26,153.9,0.97,1.27,0.03,2631995910.43
2000,2,Company_8,Finance,901106642.51,0.22,197096408.43,173.14,0.88,0.97,0.05,5551478484.83
2000,2,Company_9,Healthcare,1001229602.79,0.24,239852772.17,192.37,0.8,1.66,0.03,11319241800.53
2000,2,Company_10,Finance,1101352563.07,0.26,286780488.46,211.61,0.74,1.22,0.02,17788508670.88
2000,2,Company_11,Energy,1201475523.35,0.28,337879557.31,230.85,0.68,1.3,0.02,16178805924.21
2000,2,Company_12,Manufacturing,1301598483.63,0.3,393149978.73,250.08,0.64,1.09,0.03,22493943017.99
2000,2,Company_13,Healthcare,1401721443.91,0.32,452591752.7,269.32,0.6,1.12,0.03,24575933027.15
2000,2,Company_14,Technology,1501844404.19,0.34,516204879.23,288.56,0.56,1.35,0.02,7425847235.11
2000,2,Company_15,Utilities,1601967364.47,0.36,583989358.32,307.8,0.53,0.68,0.03,11027565946.98
2000,2,Company_16,Finance,1702090324.75,0.39,655945189.97,327.03,0.5,1.35,0.01,15913797746.89
2000,2,Company_17,Finance,1802213285.03,0.41,732072374.18,346.27,0.47,1.17,0.03,15636234197.32
2000,2,Company_18,Technology,1902336245.31,0.43,812370910.95,365.51,0.45,0.87,0.01,31072953037.9
2000,2,Company_19,Healthcare,2002459205.58,0.45,896840800.28,384.75,0.43,0.63,0.02,10041576880.5
2000,2,Company_20,Energy,2102582165.86,0.47,985482042.16,403.98,0.41,1.16,0.02,25547006382.65
2000,2,Company_21,Healthcare,2202705126.14,0.49,1078294636.61,423.22,0.39,1.54,0.01,10645260558.02
2000,2,Company_22,Healthcare,2302828086.42,0.51,1175278583.62,442.46,0.38,0.98,0.01,37426915564.58
2000,2,Company_23,Finance,2402951046.7,0.53,1276433883.18,461.69,0.36,0.95,-0.0,15390804523.44
2000,2,Company_24,Finance,2503074006.98,0.55,1381760535.31,480.93,0.35,1.36,0.01,28930107241.89
2000,2,Company_25,Energy,2603196967.26,0.57,1491258540.0,500.17,0.34,0.73,0.0,45077038262.83
2000,3,Company_1,Healthcare,239405160.82,0.08,18150943.05,42.92,2.36,0.94,0.01,3095795052.69
2000,3,Company_2,Finance,359107741.23,0.1,35005390.17,64.38,1.84,1.87,0.03,3638817221.3
2000,3,Company_3,Finance,478810321.64,0.12,57045821.01,85.84,1.5,2.15,0.03,1580403031.91
2000,3,Company_4,Healthcare,598512902.05,0.14,84272235.58,107.3,1.27,0.85,0.01,6762676880.62
2000,3,Company_5,Technology,718215482.46,0.16,116684633.88,128.75,1.1,1.4,0.02,5729455030.71
2000,3,Company_6,Technology,837918062.87,0.18,154283015.91,150.21,0.97,1.12,-0.0,3982880838.58
2000,3,Company_7,Technology,957620643.28,0.21,197067381.67,171.67,0.87,1.27,0.03,5624550735.24
